account_id,username,user_profile,time_unfollowed,following_button,unfollow_button,actually_unfollowed,possible_404,time_checked,redo_following_button,redo_unfollow_button,redo_time,re_actually_unfollowed,re_possible_404,re_time_checked
5044966622,melosworld07,https://www.instagram.com/melosworld07,2019-05-19 13:17:52.304197,nan,nan,1,0,2019-05-26 06:03:58.284589,0.0,0.0,2019-06-02 17:37:24.230127,0,0,2019-06-12 16:46:35.290505
215251883,delutedsoul,https://www.instagram.com/delutedsoul,2019-05-19 13:18:21.286986,nan,nan,0,0,2019-05-26 06:04:01.809470,nan,nan,2019-06-02 17:37:54.234660,0,0,2019-06-12 16:46:40.749008
8231053736,itzjb2,https://www.instagram.com/itzjb2,2019-05-19 13:18:50.431014,nan,nan,0,0,2019-05-26 06:04:05.488724,nan,nan,2019-06-02 17:37:55.239465,0,0,2019-06-12 16:46:46.532997
7463155318,itslx_,https://www.instagram.com/itslx_,2019-05-19 13:19:19.695003,nan,nan,0,0,2019-05-26 06:04:09.335098,nan,nan,2019-06-02 17:37:56.246658,0,0,2019-06-12 16:46:51.941027
303713939,jillgewirtz,https://www.instagram.com/jillgewirtz,2019-05-19 13:19:48.982414,nan,nan,1,0,2019-05-26 06:04:13.180522,0.0,0.0,2019-06-02 17:38:11.467384,0,0,2019-06-12 16:46:57.502133
2115630341,thehurricanemixer,https://www.instagram.com/thehurricanemixer,2019-05-19 13:20:18.577848,nan,nan,0,0,2019-05-26 06:04:17.049996,nan,nan,2019-06-02 17:38:41.472059,0,0,2019-06-12 16:47:03.269978
2341446609,woodstockpsychic,https://www.instagram.com/woodstockpsychic,2019-05-19 13:20:47.775820,nan,nan,0,0,2019-05-26 06:04:20.764246,nan,nan,2019-06-02 17:38:42.548943,0,0,2019-06-12 16:47:08.692821
5537232045,thomascivile,https://www.instagram.com/thomascivile,2019-05-19 13:21:17.056291,nan,nan,1,0,2019-05-26 06:04:24.582339,0.0,0.0,2019-06-02 17:38:57.778373,0,0,2019-06-12 16:47:14.104055
4458678307,spaghettiillusion,https://www.instagram.com/spaghettiillusion,2019-05-19 13:21:46.403254,nan,nan,1,0,2019-05-26 06:04:28.652232,0.0,0.0,2019-06-02 17:39:42.396716,0,0,2019-06-12 16:47:19.511514
7021541,zioandsons,https://www.instagram.com/zioandsons,2019-05-19 13:22:15.586120,nan,nan,1,0,2019-05-26 06:04:32.133156,0.0,0.0,2019-06-02 17:40:26.503139,0,0,2019-06-12 16:47:25.197067
4990416129,amazinglashstudiowoodbury,https://www.instagram.com/amazinglashstudiowoodbury,2019-05-19 13:22:45.554298,nan,nan,1,0,2019-05-26 06:04:36.096141,0.0,0.0,2019-06-02 17:41:11.181332,0,0,2019-06-12 16:47:30.912785
8730895259,main_squeeze_ciders,https://www.instagram.com/main_squeeze_ciders,2019-05-19 13:23:14.479243,nan,nan,0,0,2019-05-26 06:04:39.765578,nan,nan,2019-06-02 17:41:41.185914,0,0,2019-06-12 16:47:36.115930
260474568,simplebeauty_boutique,https://www.instagram.com/simplebeauty_boutique,2019-05-19 13:23:43.676531,nan,nan,1,0,2019-05-26 06:04:43.701883,0.0,0.0,2019-06-02 17:41:56.639950,0,0,2019-06-12 16:47:42.015160
244234454,annmariesellars,https://www.instagram.com/annmariesellars,2019-05-19 13:24:12.954885,nan,nan,0,0,2019-05-26 06:04:47.211355,nan,nan,2019-06-02 17:42:26.644523,0,0,2019-06-12 16:47:47.598723
1767978710,suburbansit,https://www.instagram.com/suburbansit,2019-05-19 13:24:42.278747,nan,nan,0,0,2019-05-26 06:04:50.820233,nan,nan,2019-06-02 17:42:27.656819,0,0,2019-06-12 16:47:53.178714
7297262612,hudson_and_state,https://www.instagram.com/hudson_and_state,2019-05-19 13:25:11.532409,nan,nan,0,0,2019-05-26 06:04:54.366146,nan,nan,2019-06-02 17:42:28.666617,0,0,2019-06-12 16:47:58.261952
3467447532,the715hudson,https://www.instagram.com/the715hudson,2019-05-19 13:25:40.829439,nan,nan,0,0,2019-05-26 06:04:58.551252,nan,nan,2019-06-02 17:42:29.939376,0,0,2019-06-12 16:48:03.784837
8122249928,olympicpeninsularowing,https://www.instagram.com/olympicpeninsularowing,2019-05-19 13:26:09.893609,nan,nan,0,0,2019-05-26 06:05:02.060609,nan,nan,2019-06-02 17:42:30.944448,0,0,2019-06-12 16:48:09.262985
197294406,jkass00,https://www.instagram.com/jkass00,2019-05-19 13:26:38.965431,nan,nan,0,0,2019-05-26 06:05:05.520338,nan,nan,2019-06-02 17:42:31.948431,0,0,2019-06-12 16:48:14.590483
